date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:04	129/129	---MCZ	200	added ('OK')	text/plain	date:Sun,%2020%20Feb%202022%2010:43:51%20GMT	https://gyrosco.pe/robots.txt		(from )
16:15:05	44391/44391	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:43:51%20GMT	https://gyrosco.pe/aprilzero/helix/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/index.html	(from )
16:15:07	302691/302691	---MCZ	200	added ('OK')	application/javascript	etag:W/%228b2b46f29d8df566e8b85e1e86e1e9dc%22	https://media.gyrosco.pe/javascript/libraries.js?v7	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/javascript/librariese6dd.js	(from https://gyrosco.pe/aprilzero/helix/)
16:15:08	86184/86184	---MCZ	200	added ('OK')	application/javascript	etag:W/%229646a93df10143145153879fe71ea30b%22	https://media.gyrosco.pe/javascript/gyroscope.global.js?v7	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/javascript/gyroscope.globale6dd.js	(from https://gyrosco.pe/aprilzero/helix/)
16:15:10	63865/63865	---MCZ	200	added ('OK')	application/javascript	etag:W/%220ae6824ad1ec343670379326dec75fe3%22	https://media.gyrosco.pe/javascript/gyroscope.helix.js	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/javascript/gyroscope.helix.js	(from https://gyrosco.pe/aprilzero/helix/)
16:15:10	212790/212790	---MCZ	200	added ('OK')	application/javascript	etag:%22afd5ed66b01e4e7bfa4ac0501d937387%22	https://api.mapbox.com/mapbox.js/v3.3.1/mapbox.js	C:/Users/ADMIN/Desktop/Brain/api.mapbox.com/mapbox.js/v3.3.1/mapbox.js	(from https://gyrosco.pe/aprilzero/helix/)
16:15:11	142651/142651	---MCZ	200	added ('OK')	text/css	etag:W/%2248cde93ad0b40e8720ee71446fbceec2%22	https://media.gyrosco.pe/css/global.css?v7	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/css/globale6dd.css	(from https://gyrosco.pe/aprilzero/helix/)
16:15:13	214231/214231	---MCZ	200	added ('OK')	text/css	etag:W/%220742b3a4bd8f5ccb4fa39e141df8972e%22	https://media.gyrosco.pe/css/helix.css	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/css/helix.css	(from https://gyrosco.pe/aprilzero/helix/)
16:15:14	9977/9977	---M--	200	added ('OK')	image/png	etag:%2255402a706f39d4ec395d3c4425b3cbc7%22	https://media.gyrosco.pe/images/icons/120-centered.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/icons/120-centered.png	(from https://gyrosco.pe/aprilzero/helix/)
16:15:15	15717/15717	---M--	200	added ('OK')	image/png	etag:%22a840a67e033717ff2d6b3878a851e347%22	https://media.gyrosco.pe/images/icons/180-centered.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/icons/180-centered.png	(from https://gyrosco.pe/aprilzero/helix/)
16:15:16	28504/28504	---M--	200	added ('OK')	image/png	etag:%22ee23f8339caf2f239f63ec27347c33d5%22	https://media.gyrosco.pe/images/icons/startup.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/icons/startup.png	(from https://gyrosco.pe/aprilzero/helix/)
16:15:16	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Feb%202022%2010:44:03%20GMT	https://gyrosco.pe/cdn-cgi/bm/cv/669835187/api.js	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/cdn-cgi/bm/cv/669835187/api.js	(from https://gyrosco.pe/aprilzero/helix/)
16:15:18	124/124	---M--	200	added ('OK')	image/png	etag:%22ad597061a2c3957f77341d52cce18e1b%22	https://media.gyrosco.pe/images/zero/explorer/square.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/zero/explorer/square.png	(from https://gyrosco.pe/aprilzero/helix/)
16:15:18	30318/30318	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:04%20GMT	https://gyrosco.pe/aprilzero/helix/mind/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/mind/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:18	250/250	---M--	200	added ('OK')	image/png	etag:%2269abfe755f0d31385852377af82a2d4a%22	https://ss3.4sqi.net/img/categories_v2/building/home_32.png	C:/Users/ADMIN/Desktop/Brain/ss3.4sqi.net/img/categories_v2/building/home_32.png	(from https://gyrosco.pe/aprilzero/helix/)
16:15:18	183/183	---M--	200	added ('OK')	image/png	etag:%2235256ae132e917e3c22310675139a09f%22	https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_32.png	C:/Users/ADMIN/Desktop/Brain/ss3.4sqi.net/img/categories_v2/food/coffeeshop_32.png	(from https://gyrosco.pe/aprilzero/helix/)
16:15:19	20198/20198	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:05%20GMT	https://gyrosco.pe/aprilzero/helix/core/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/core/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:19	73402/73402	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:05%20GMT	https://gyrosco.pe/aprilzero/helix/heart/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/heart/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:20	29772/29772	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:06%20GMT	https://gyrosco.pe/aprilzero/helix/fitness/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/fitness/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:20	31112/31112	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:07%20GMT	https://gyrosco.pe/aprilzero/helix/2022/2/20/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/2022/2/20/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:21	50222/50222	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:07%20GMT	https://gyrosco.pe/aprilzero/helix/2022/2/18/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/2022/2/18/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:21	1841/1841	---M--	200	added ('OK')	image/png	etag:%227673e2936f1d7958daa8f6f926cf1460%22	https://media.gyrosco.pe/images/zero/honeycomb/hex.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/zero/honeycomb/hex.png	(from https://media.gyrosco.pe/css/global.css?v7)
16:15:22	26947/26947	---M--	200	added ('OK')	image/png	etag:%22393c5823c0713223c0dafaac7130329a%22	https://media.gyrosco.pe/images/account/avatar.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/account/avatar.png	(from https://media.gyrosco.pe/css/global.css?v7)
16:15:22	207751/207751	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Feb%202022%2010:44:08%20GMT	https://gyrosco.pe/aprilzero/helix/places/	C:/Users/ADMIN/Desktop/Brain/gyrosco.pe/aprilzero/helix/places/index.html	(from https://gyrosco.pe/aprilzero/helix/)
16:15:23	3400/3400	---M--	200	added ('OK')	image/png	etag:%22d435f2c5c9a379d211a1bf90132b7470%22	https://media.gyrosco.pe/images/settings/arrow.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/settings/arrow.png	(from https://media.gyrosco.pe/css/global.css?v7)
16:15:24	2834/2834	---M--	200	added ('OK')	image/png	etag:%22dafdadf7a3b378480a048d00de65d815%22	https://media.gyrosco.pe/images/settings/arrow_dark.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/settings/arrow_dark.png	(from https://media.gyrosco.pe/css/global.css?v7)
16:15:25	26599/26599	---M--	200	added ('OK')	image/png	etag:%22f19e597678a2a96b6182e7470dfb6be4%22	https://media.gyrosco.pe/images/logo/180x180.png	C:/Users/ADMIN/Desktop/Brain/media.gyrosco.pe/images/logo/180x180.png	(from https://media.gyrosco.pe/css/global.css?v7)
